,steps,collision,speed,ik,object collision,velocity violation,velocity,success,return
0,1,0,0,0,0,0,,0,0.0
1,202,0,0,0,0,0,,0,-77.5094024172511
2,403,0,0,0,0,0,,0,-88.60022696476494
3,604,0,0,0,0,0,,0,-200.18033234288424
4,805,0,0,0,0,0,,0,-187.06486181210767
5,1006,0,0,0,0,0,,0,-155.23338255302855
6,1207,0,0,0,0,0,,0,-112.6330372194254
7,1408,0,0,0,0,0,,0,-108.21389273077897
8,1609,0,0,0,0,0,,0,-215.36501946053284
9,1810,0,0,0,0,0,,0,-91.99066763571622
10,2011,0,0,0,0,0,,0,-110.99455713517227
11,2209,2,0,0,0,2,0.2693885496296465,0,-144.55437164231577
12,2410,0,0,0,0,0,,0,-119.0107532437618
13,2611,0,0,0,0,0,,0,-146.25142742683414
14,2812,0,0,0,0,0,,0,-137.16065027326357
15,3013,0,0,0,0,0,,0,-85.43178150475141
16,3214,0,0,0,0,0,,0,-101.64267011970423
17,3415,0,0,0,0,0,,0,-108.22408844933133
18,3616,0,0,0,0,0,,0,-81.48238611694251
19,3817,0,0,0,0,0,,0,-88.28300691471688
20,4018,0,0,0,0,0,,0,-110.46547136148018
21,4219,0,0,0,0,0,,0,-86.52132131202183
22,4420,0,0,0,0,0,,0,-122.0363701296616
23,4621,0,0,0,0,0,,0,-88.2617616516786
24,4822,0,0,0,0,0,,0,-100.27502269289823
25,5023,0,0,0,0,0,,0,-99.39373942841561
26,5224,0,0,0,0,0,,0,-111.1006578953428
27,5419,1,0,0,0,1,0.33931954478391546,0,-110.1041837246291
28,5620,0,0,0,0,0,,0,-120.26125310886458
29,5821,0,0,0,0,0,,0,-91.82603411838006
30,6022,0,0,0,0,0,,0,-130.71209624643097
31,6223,0,0,0,0,0,,0,-69.62798465242491
32,6424,0,0,0,0,0,,0,-90.5027757200387
33,6625,0,0,0,0,0,,0,-105.87603698649119
34,6826,0,0,0,0,0,,0,-46.85403251725518
35,7027,0,0,0,0,0,,0,-75.8436226361239
36,7228,0,0,0,0,0,,0,-142.8440643073771
37,7429,0,0,0,0,0,,0,-109.75244997635343
38,7630,0,0,0,0,0,,0,-98.33302870500765
39,7831,0,0,0,0,0,,0,-84.56679695059297
40,7985,0,0,0,2,0,,0,-55.972606502488986
41,8186,0,0,0,0,0,,0,-96.41774250624479
42,8387,0,0,0,0,0,,0,-79.33868973641115
