steps,collision,speed,object collision,velocity violation,velocity,success,return
1,0,0,0,0,,0,0
202,0,0,0,0,,0,-77.5094024172511
403,0,0,0,0,,0,-88.600226964765
604,0,0,0,0,,0,-200.180332342884
799,2,0,0,2,,0,-187.064861812108
1000,0,0,0,0,,0,-155.233382553029
1201,0,0,0,0,,0,-112.633037219425
1402,0,0,0,0,,0,-108.213892730779
1603,0,0,0,0,,0,-215.365019460533
1804,0,0,0,0,,0,-91.9906676357162
1993,2,0,0,1,,0,-110.994557135172
2194,0,0,0,0,0.269388549629646,0,-144.554371642316
2395,0,0,0,0,,0,-119.010753243762
2596,0,0,0,0,,0,-146.251427426834
2797,0,0,0,0,,0,-137.160650273264
2992,2,0,0,2,,0,-85.4317815047514
3193,0,0,0,0,,0,-101.642670119704
3394,0,0,0,0,,0,-108.224088449331
3595,0,0,0,0,,0,-81.4823861169425
3796,0,0,0,0,,0,-88.2830069147169
3997,0,0,0,0,,0,-110.46547136148
4123,0,0,1,1,,0,-86.5213213120218
4322,2,0,0,2,,0,-122.036370129662
4523,1,0,0,1,,0,-88.2617616516786
4724,0,0,0,0,,0,-100.275022692898
4918,1,0,0,1,,0,-99.3937394284156
5119,0,0,0,0,,0,-111.100657895343
5320,0,0,0,0,0.339319544783915,0,-110.104183724629
5521,0,0,0,0,,0,-120.261253108865
5671,0,0,2,2,,0,-91.8260341183801
5844,1,0,0,1,,0,-130.712096246431
6045,0,0,0,0,,0,-69.6279846524249
6214,1,0,0,1,,0,-90.5027757200387
6415,0,0,0,0,,0,-105.876036986491
6616,0,0,0,0,,0,-46.8540325172552
6817,0,0,0,0,,0,-75.8436226361239
7018,0,0,0,0,,0,-142.844064307377
7151,0,0,0,0,,1,-109.752449976353
7352,0,0,0,0,,0,-98.3330287050076
7553,0,0,0,0,,0,-84.566796950593
7697,0,0,1,0,,0,-55.972606502489
7898,0,0,0,0,,0,-96.4177425062448
8030,0,0,2,2,,0,-79.3386897364112
8231,0,0,0,0,,0,-121.525287917246
8432,0,0,0,0,,0,-91.5809235595838
8633,0,0,0,0,,0,-100.218643024191
8834,0,0,0,0,,0,-119.192208987098
9020,1,0,0,1,,0,-107.225077468811
9221,0,0,0,0,,0,-92.7876342785037
9391,1,0,0,1,,0,-106.20493136825
9592,0,0,0,0,,0,-178.464927715837
9750,1,0,0,1,,0,-99.7093335989566
9951,0,0,0,0,,0,-79.583869028346
10152,0,0,0,0,,0,-94.5007080447498
10353,0,0,0,0,,0,-74.0442900598359
10530,1,0,0,1,,0,-103.863540881818
10661,0,0,2,1,,0,-63.4408089546068
10788,0,0,2,2,,0,-60.7569727836983
10914,0,0,0,0,,1,-141.000339729322
11042,0,0,2,2,,0,-65.628123758651
11243,0,0,0,0,,0,-193.153071268941
11391,0,0,2,2,,0,-104.990810491021
11592,0,0,0,0,,0,-109.208502523375
11770,0,0,1,0,,0,-113.483426176487
11971,0,0,0,0,,0,-66.0175006138167
12103,0,0,0,0,,1,-80.1640689867771
12304,0,0,0,0,,0,-112.423114545724
12505,0,0,0,0,,0,-162.184812884969
12706,0,0,0,0,,0,-102.219195712419
12907,0,0,0,0,,0,-144.532361773073
13108,0,0,0,0,,0,-86.0105837738105
13309,0,0,0,0,0.286020415921327,0,-86.1957608399493
13456,0,0,0,0,,1,-112.200205042153
13610,0,0,0,0,,1,-56.8212545423608
13811,0,0,0,0,,0,-103.775538480887
14012,0,0,0,0,,0,-142.153768233926
14172,1,0,0,1,,0,-66.7132108951142
14373,0,0,0,0,,0,-85.6513678685915
14492,0,0,0,0,,1,-135.420184071495
14693,0,0,0,0,,0,-63.2113778500223
14894,0,0,0,0,,0,-85.9033970638427
15008,0,0,0,0,,1,-65.1042079304465
15133,0,0,2,0,,0,-140.994868783092
15334,0,0,0,0,,0,-87.5465949618635
15535,0,0,0,0,,0,-126.952622290476
15736,0,0,0,0,,0,-98.2782867190003
15937,0,0,0,0,,0,-149.805905390591
