,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
1,5000,0,0,0,0,0,,0,-77.086341956188
2,10000,0,0,0,0,0,,0,-88.194834098278
3,15000,0,0,0,0,0,,0,-200.05896371918
4,20000,0,0,0,0,0,,0,-184.689642970263
5,25000,0,0,0,0,0,,0,-152.890494130168
6,30000,0,0,0,0,0,,0,-110.797734320885
7,35000,0,0,0,0,0,,0,-104.972668405921
8,40000,0,0,0,0,0,,0,-212.370186034859
9,45000,0,0,0,0,0,,0,-88.565753890579
10,50000,0,0,0,0,0,,0,-118.679573560662
11,55000,0,0,0,0,0,,0,-133.711440145849
12,60000,1,0,0,0,1,3.27535701767886,0,-5.59319006358645
13,65000,0,0,0,0,0,,0,-94.5419423513718
14,70000,0,0,0,0,0,,0,-99.1050490507487
15,75000,0,0,0,0,0,,0,-107.575312159016
16,80000,0,0,0,0,0,,0,-89.3531700940941
17,85000,0,0,0,0,0,,0,-101.205406525713
18,90000,0,0,0,0,0,,0,-204.535015324697
19,95000,0,0,0,0,0,,0,-105.259097179515
20,100000,0,0,0,0,0,,0,-80.9673337273981
21,105000,0,0,0,0,0,,0,-151.738680995536
22,110000,0,0,0,0,0,,0,-66.6276845234538
23,115000,0,0,0,0,0,,0,-127.716727258286
24,120000,0,0,0,0,0,,0,-79.1773436191472
25,125000,0,0,0,0,0,,0,-105.559377672287
26,130000,0,0,0,0,0,,0,-137.257758035155
27,135000,0,0,0,0,0,,0,-73.7857913656466
28,140000,0,0,0,0,0,,0,-92.492904377456
29,145000,0,0,0,0,0,,0,-110.076524580865
30,150000,0,0,0,0,0,,0,-161.902352170716
31,155000,0,0,0,0,0,,0,-136.512930138258
32,160000,0,0,0,0,0,,0,-129.917696229503
33,165000,0,0,0,0,0,,0,-59.241024375706
34,170000,0,0,0,0,0,,0,-110.532242448899
35,175000,0,0,0,0,0,,0,-58.9621645142357
36,180000,0,0,0,0,0,,0,-93.9972181816305
37,185000,0,0,0,0,0,,0,-87.3955828286452
38,190000,1,0,0,0,0,0.19726508389356,0,-93.6078525585971
39,195000,0,0,0,0,0,,0,-111.765360665205
40,200000,0,0,0,0,0,,0,-91.4979314942391
41,205000,0,0,0,0,0,,0,-69.9737675915681
42,210000,0,0,0,0,0,,0,-80.4869268759765
43,215000,0,0,0,0,0,,0,-206.498212254152
44,220000,0,0,0,0,0,,0,-71.9500971274556
45,225000,0,0,0,0,0,,0,-95.6755304919583
46,230000,0,0,0,0,0,,0,-117.407996354185
47,235000,0,0,0,0,0,,0,-51.8474392235913
48,240000,0,0,0,0,0,,0,-68.2641375993996
49,245000,1,0,0,0,0,0.123592245944257,0,-121.019797054784
50,250000,0,0,0,0,0,,0,-99.3211931765535
51,255000,0,0,0,0,0,,0,-128.399148951037
52,260000,0,0,0,0,0,,0,-101.194712817059
53,265000,0,0,0,0,0,,0,-116.39737956805
54,270000,0,0,0,0,0,,0,-88.3936646270552
55,275000,0,0,0,0,0,,0,-114.510399489529
56,280000,0,0,0,0,0,,0,-87.9284713942915
57,285000,0,0,0,0,0,,0,-123.986980945422
58,290000,0,0,0,0,0,,0,-76.5040829367018
59,295000,0,0,0,0,0,,0,-142.70685620518
60,300000,1,0,0,0,1,0.23662095037027,0,-95.8248134513306
61,305000,0,0,0,0,0,,0,-99.1536514286802
62,310000,0,0,0,0,0,,0,-93.0854113654623
63,315000,2,0,0,0,2,0.215466862614196,0,-90.759437983438
64,320000,1,0,0,0,1,0.228709382205185,0,-91.5269806709744
65,325000,0,0,0,0,0,,0,-117.456134097911
66,330000,2,0,0,0,0,0.194940647203183,0,-66.4873082226317
67,335000,0,0,0,0,0,,0,-48.437640894716
68,340000,0,0,0,0,0,,0,-54.5651503222031
69,345000,0,0,0,0,0,,0,-77.6707975083424
70,350000,0,0,0,0,0,,0,-69.0427856913974
71,355000,0,0,0,0,0,,0,-105.455933927638
72,360000,0,0,0,0,0,,0,-80.2049198804483
73,365000,0,0,0,0,0,,0,-78.8946638673757
74,370000,0,0,0,0,0,,0,-164.840956820309
75,375000,0,0,0,0,0,,0,-106.294206977009
76,380000,0,0,0,0,0,,0,-101.056099389512
77,385000,0,0,0,0,0,,0,-97.4749280809099
78,390000,0,0,0,0,0,,0,-75.5271672071656
79,395000,0,0,0,0,0,,0,-133.756697395237
80,400000,0,0,0,0,0,,0,-90.4594727394519
81,405000,0,0,0,0,0,,0,-87.1318619235239
82,410000,0,0,0,0,0,,0,-140.889593612893
83,415000,0,0,0,0,0,,0,-87.8527139837924
84,420000,0,0,0,0,0,,0,-79.9932347471765
85,425000,0,0,0,0,0,,0,-95.1457702902334
86,430000,0,0,0,0,0,,0,-56.9726955041022
87,435000,0,0,0,0,0,,0,-129.984006401397
88,440000,0,0,0,0,0,,0,-97.6799044365591
89,445000,0,0,0,0,0,,0,-80.5367389221759
90,450000,0,0,0,0,0,,0,-84.2506243335323
91,455000,0,0,0,0,0,,0,-94.2922926356028
92,460000,0,0,0,0,0,,0,-138.836923107431
93,465000,0,0,0,0,0,,0,-72.606664131831
94,470000,0,0,0,0,0,,0,-98.8574522038685
95,475000,0,0,0,0,0,,0,-118.067569293734
96,480000,0,0,0,0,0,,0,-64.966707255781
97,485000,0,0,0,0,0,,0,-110.029246009015
98,490000,0,0,0,0,0,,0,-92.3360206540194
99,495000,0,0,0,0,0,,0,-81.745715812907
100,500000,2,0,0,0,2,0.306729263126429,0,275.310979008344
101,505000,0,0,0,0,0,,0,-88.0435026541819
102,510000,0,0,0,0,0,,0,-3.58900775588719
103,515000,0,0,0,0,0,,0,-81.9940378312146
104,520000,0,0,0,0,0,,0,-69.0575261503722
105,525000,0,0,0,0,0,,0,-78.3079379987411
106,530000,0,0,0,0,0,,0,-114.638726908967
107,535000,0,0,0,0,0,,0,-58.8052355335727
108,540000,0,0,0,0,0,,0,-111.025599341006
109,545000,0,0,0,0,0,,0,-84.8063321804044
110,550000,1,1,0,0,1,0.225291210891847,0,39.3949911728835
111,555000,0,0,0,0,0,,0,-125.519116597142
112,560000,0,0,0,0,0,,0,-113.840384705011
