,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
1,5000,0,0,0,0,0,,0,-77.0685340341518
2,10000,0,0,0,0,0,,0,-88.1564870349001
3,15000,0,0,0,0,0,,0,-200.630235442113
4,20000,0,0,0,0,0,,0,-184.521778971465
5,25000,0,0,0,0,0,,0,-152.820432876534
6,30000,0,0,0,0,0,,0,-110.151391720121
7,35000,0,0,0,0,0,,0,-104.545619365094
8,40000,0,0,0,0,0,,0,-209.783549149514
9,45000,0,0,0,0,0,,0,-90.6249629836057
10,50000,0,0,0,0,0,,0,-114.016641291744
11,55000,1,0,0,0,1,0.206492344516747,0,-155.019784537334
12,60000,0,0,0,0,0,,0,-91.7589789653774
13,65000,0,0,0,0,0,,0,-138.451966138153
14,70000,0,0,0,0,0,,0,-129.060542195344
15,75000,0,0,0,0,0,,0,-170.822933304911
16,80000,0,0,0,0,0,,0,-74.6259376376792
17,85000,0,0,0,0,0,,0,-54.5696664076043
18,90000,0,0,0,0,0,,0,-67.3992455026477
19,95000,0,0,0,0,0,,0,-88.6263499510321
20,100000,0,0,0,0,0,,0,-162.920782937032
21,105000,0,0,0,0,0,,0,-94.5896267013196
22,110000,0,0,0,0,0,,0,-89.1905880154704
23,115000,0,0,0,0,0,,0,-102.594273858901
24,120000,0,0,0,0,0,,0,-106.921987039059
25,125000,0,0,0,0,0,,0,-98.9461789368236
26,130000,0,0,0,0,0,,0,-50.0896696829958
27,135000,0,0,0,0,0,,0,-156.072328633058
28,140000,0,0,0,0,0,,0,-78.6343566220913
29,145000,0,0,0,0,0,,0,-69.035409405198
30,150000,0,0,0,0,0,,0,-132.481859072458
31,155000,0,0,0,0,0,,0,-77.8805162170279
32,160000,0,0,0,0,0,,0,-90.686071350445
33,165000,0,0,0,0,0,,0,-76.206279707213
34,170000,0,0,0,0,0,,0,-48.7303665565856
35,175000,1,0,0,0,1,0.303973996827005,0,-80.6130372682363
36,180000,0,0,0,0,0,,0,-123.82565214254
37,185000,0,0,0,0,0,,0,-61.3648458203991
38,190000,0,0,0,0,0,,0,-84.8369275373662
39,195000,0,0,0,0,0,,0,-98.1573668555482
40,200000,0,0,0,0,0,,0,-121.321502965156
41,205000,0,0,0,0,0,,0,-123.035866576814
42,210000,0,0,0,0,0,,0,-114.960712347461
43,215000,0,0,0,0,0,,0,-84.7772420272262
44,220000,1,0,0,0,0,0.175509902894421,0,-70.2027039406078
45,225000,0,0,0,0,0,,0,-105.70319469002
46,230000,0,0,0,4,4,0.294036313001452,0,-70.1091983560299
47,235000,0,0,0,0,0,,0,-120.677226509695
48,240000,0,0,0,0,0,,0,-100.107235782341
49,245000,0,0,0,0,0,,0,-131.189938679871
50,250000,0,0,0,0,0,,0,-96.5900349181208
51,255000,2,0,0,0,1,0.17658966751886,0,-69.1681123047566
52,260000,0,0,0,0,0,,0,-84.3826307348687
53,265000,0,0,0,0,0,,0,-73.9927434325842
54,270000,0,0,0,0,0,,0,-109.268872372526
55,275000,0,0,0,0,0,,0,-76.6143429559097
56,280000,0,0,0,0,0,,0,-121.540113124912
57,285000,2,0,0,0,2,0.238595688352783,0,-5.79037889343733
58,290000,0,0,0,0,0,,0,-118.983061003036
59,295000,0,0,0,0,0,,0,-56.8446764780036
60,300000,0,0,0,0,0,,0,-63.7047044066923
61,305000,1,0,0,0,1,0.274137162672612,0,-105.923069575781
62,310000,0,0,0,0,0,,0,-101.438692418532
63,315000,0,0,0,0,0,,0,-151.26756034981
64,320000,0,0,0,0,0,,0,-121.924155671531
65,325000,2,0,0,0,2,0.29426287880883,0,-59.1106959561619
66,330000,0,0,0,0,0,,0,-136.310919053958
67,335000,0,0,0,0,0,,0,-128.457997527454
68,340000,1,0,0,0,1,0.307782743478542,0,-5.20407334429812
69,345000,0,0,0,0,0,,0,-125.552787072457
70,350000,0,0,0,0,0,,0,-164.207239522124
71,355000,0,0,0,0,0,,0,-62.6599253698016
72,360000,1,0,0,0,0,0.176163656506058,0,-63.7049791229828
73,365000,1,0,0,0,1,0.256198436670429,0,-64.2440416590191
74,370000,2,0,0,0,2,0.227988459373577,0,42.1346496314597
75,375000,0,0,0,0,0,,0,217.582710120351
76,380000,0,0,0,0,0,,1,640.002792058647
77,385000,0,0,0,0,0,,0,-110.644976569256
78,390000,0,0,0,0,0,,1,498.232665346547
79,395000,1,0,0,0,0,0.133206373227929,0,34.5711375830144
80,400000,0,0,0,0,0,,0,-91.7944413092597
81,405000,0,0,0,0,0,,0,-174.310418337327
82,410000,1,0,0,0,0,0.187550172271765,0,3.05462965143804
83,415000,0,0,0,0,0,,0,-90.4087681527299
84,420000,0,0,0,0,0,,1,219.730900611111
85,425000,0,0,0,0,0,,0,-91.5766988807101
86,430000,0,0,0,0,0,,0,-161.640191659825
87,435000,0,0,0,0,0,,0,-143.170420550791
88,440000,0,0,0,0,0,,0,-111.943027249206
89,445000,1,0,0,0,1,0.275227791709813,0,188.969422763622
90,450000,0,0,0,2,2,0.267675179726298,0,-37.9279145055846
91,455000,0,0,0,0,0,,0,-61.4373761789308
92,460000,0,0,0,0,0,,0,-96.4607590729633
93,465000,0,0,0,0,0,,0,-87.7956412753744
94,470000,0,0,0,0,0,,0,-118.861959140154
95,475000,0,0,0,0,0,,0,-115.110494141833
96,480000,0,0,0,0,0,,0,-101.811451508131
97,485000,0,0,0,0,0,,0,-83.7515727559775
98,490000,0,0,0,0,0,,0,-128.59153706937
